,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
220,"Johnson, Joe",2001,Y,2207,joe_johnson,1,BKN,Brooklyn,nets,1610612751,Nets,2015
221,"Johnson, Stanley",2015,Y,1626169,stanley_johnson,1,DET,Detroit,pistons,1610612765,Pistons,2015
222,"Johnson, Tyler",2014,Y,204020,tyler_johnson,1,MIA,Miami,heat,1610612748,Heat,2015
223,"Johnson, Wesley",2010,Y,202325,wesley_johnson,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
224,"Jokic, Nikola",2015,Y,203999,nikola_jokic,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
225,"Jones, James",2003,Y,2592,james_jones,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
226,"Jones, Terrence",2012,Y,203093,terrence_jones,1,HOU,Houston,rockets,1610612745,Rockets,2015
227,"Jones, Tyus",2015,Y,1626145,tyus_jones,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
228,"Jordan, DeAndre",2008,Y,201599,deandre_jordan,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
229,"Joseph, Cory",2011,Y,202709,cory_joseph,1,TOR,Toronto,raptors,1610612761,Raptors,2015
230,"Kaman, Chris",2003,Y,2549,chris_kaman,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
231,"Kaminsky, Frank",2015,Y,1626163,frank_kaminsky,1,CHA,Charlotte,hornets,1610612766,Hornets,2015
232,"Kanter, Enes",2011,Y,202683,enes_kanter,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
233,"Karasev, Sergey",2013,Y,203508,sergey_karasev,1,BKN,Brooklyn,nets,1610612751,Nets,2015
234,"Kaun, Sasha",2015,Y,201619,sasha_kaun,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2015
235,"Kelly, Ryan",2013,Y,203527,ryan_kelly,1,LAL,Los Angeles,lakers,1610612747,Lakers,2015
236,"Kidd-Gilchrist, Michael",2012,Y,203077,michael_kidd-gilchrist,1,CHA,Charlotte,hornets,1610612766,Hornets,2015
237,"Knight, Brandon",2011,Y,202688,brandon_knight,1,PHX,Phoenix,suns,1610612756,Suns,2015
238,"Korver, Kyle",2003,Y,2594,kyle_korver,1,ATL,Atlanta,hawks,1610612737,Hawks,2015
239,"Koufos, Kosta",2008,Y,201585,kosta_koufos,1,SAC,Sacramento,kings,1610612758,Kings,2015
240,"LaVine, Zach",2014,Y,203897,zach_lavine,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
241,"Lamb, Jeremy",2012,Y,203087,jeremy_lamb,1,CHA,Charlotte,hornets,1610612766,Hornets,2015
242,"Landry, Carl",2007,Y,201171,carl_landry,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
